               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1224,            0.014298,            0.030615,           0.0026008,             0.79831,            0.004947,           0.0012222,             0.12864,            0.010719,            0.040979,              0.0982,              0.0002,              0.0002
                   1,             0.12347,             0.01451,            0.031482,            0.002927,              0.8913,           0.0063599,           0.0015187,             0.12539,            0.011256,            0.040938,            0.095401,            0.000401,            0.000401
                   2,             0.12218,            0.014508,            0.030344,           0.0029277,              0.8913,           0.0081324,           0.0019536,             0.12075,            0.012072,            0.040707,            0.092483,           0.0004832,           0.0004832
                   3,              0.1156,            0.016389,            0.030249,           0.0031769,             0.95652,           0.0087115,           0.0021434,             0.11545,            0.012887,            0.040505,            0.089447,           0.0004466,           0.0004466
                   4,             0.11162,            0.017425,            0.030163,           0.0031792,             0.95652,           0.0074137,           0.0021879,             0.11081,            0.013495,             0.04015,            0.086291,           0.0002912,           0.0002912
